,CommName,SpeciesCatName,SciName,CommGroup
664,Witch flounder,"Flounders, halibuts, soles",Glyptocephalus cynoglossus,
727,Wolffishes(=Catfishes) nei,Miscellaneous demersal fishes,Anarhichas spp,
844,"Wrasses, hogfishes, etc. nei",Miscellaneous coastal fishes,Labridae,
906,Abalones nei,"Abalones, winkles, conchs",Haliotis spp,
1032,"Croakers, drums nei",Miscellaneous coastal fishes,Sciaenidae,
1095,Demersal percomorphs nei,Miscellaneous demersal fishes,Perciformes,
1158,Emperors(=Scavengers) nei,Miscellaneous coastal fishes,Lethrinidae,
1221,Groupers nei,Miscellaneous coastal fishes,Epinephelus spp,
1284,"Grunts, sweetlips nei",Miscellaneous coastal fishes,Haemulidae (=Pomadasyidae),
1347,"Hairtails, scabbardfishes nei",Miscellaneous demersal fishes,Trichiuridae,
1473,Mullets nei,Miscellaneous coastal fishes,Mugilidae,
1599,Pharaoh cuttlefish,"Squids, cuttlefishes, octopuses",Sepia pharaonis,
1662,"Porgies, seabreams nei",Miscellaneous coastal fishes,Sparidae,
1725,"Rays, stingrays, mantas nei","Sharks, rays, chimaeras",Rajiformes,
1788,Sea catfishes nei,Miscellaneous coastal fishes,Ariidae,
1851,"Sharks, rays, skates, etc. nei","Sharks, rays, chimaeras",Elasmobranchii,
1914,"Snappers, jobfishes nei",Miscellaneous coastal fishes,Lutjanidae,
1977,Spinefeet(=Rabbitfishes) nei,Miscellaneous coastal fishes,Siganus spp,
2040,Threadfin and dwarf breams nei,Miscellaneous coastal fishes,Nemipteridae,
2103,Tropical spiny lobsters nei,"Lobsters, spiny-rock lobsters",Panulirus spp,
2166,Blue shark,"Sharks, rays, chimaeras",Prionace glauca,
2292,African sicklefish,Miscellaneous coastal fishes,Drepane africana,
2593,Barramundi(=Giant seaperch),Miscellaneous diadromous fishes,Lates calcarifer,
2643,Marine crustaceans nei,Miscellaneous marine crustaceans,Crustacea,
2706,Bombay-duck,Miscellaneous coastal fishes,Harpadon nehereus,
2895,"Cuttlefish, bobtail squids nei","Squids, cuttlefishes, octopuses","Sepiidae, Sepiolidae",
3084,Fourfinger threadfin,Miscellaneous coastal fishes,Eleutheronema tetradactylum,
3210,Greater lizardfish,Miscellaneous coastal fishes,Saurida tumbil,
3385,"Guitarfishes, etc. nei","Sharks, rays, chimaeras",Rhinobatidae,
3448,Hilsa shad,Shads,Tenualosa ilisha,
3574,Largehead hairtail,Miscellaneous demersal fishes,Trichiurus lepturus,
3637,Mangrove red snapper,Miscellaneous coastal fishes,Lutjanus argentimaculatus,
3700,Marine crabs nei,"Crabs, sea-spiders",Brachyura,
3763,Metapenaeus shrimps nei,"Shrimps, prawns",Metapenaeus spp,
4015,Pike-congers nei,Miscellaneous demersal fishes,Muraenesox spp,
4204,Black seabream,Miscellaneous coastal fishes,Spondyliosoma cantharus,
4267,Requiem sharks nei,"Sharks, rays, chimaeras",Carcharhinidae,
4393,Sillago-whitings,Miscellaneous coastal fishes,Sillaginidae,
4456,Threadfin breams nei,Miscellaneous coastal fishes,Nemipterus spp,
4519,Tonguefishes,"Flounders, halibuts, soles",Cynoglossidae,
4767,"Goatfishes, red mullets nei",Miscellaneous coastal fishes,Mullidae,
4948,Milkfish,Miscellaneous diadromous fishes,Chanos chanos,
5067,Parrotfishes nei,Miscellaneous coastal fishes,Scaridae,
5130,Sea chubs nei,Miscellaneous coastal fishes,Kyphosidae,
5313,Surgeonfishes nei,Miscellaneous coastal fishes,Acanthuridae,
5492,Bogue,Miscellaneous coastal fishes,Boops boops,
5555,Common squids nei,"Squids, cuttlefishes, octopuses",Loligo spp,
5681,Flatfishes nei,"Flounders, halibuts, soles",Pleuronectiformes,
5867,Lizardfishes nei,Miscellaneous coastal fishes,Synodontidae,
5993,Meagre,Miscellaneous coastal fishes,Argyrosomus regius,
6245,Red porgy,Miscellaneous coastal fishes,Pagrus pagrus,
6371,Sargo breams nei,Miscellaneous coastal fishes,Diplodus spp,
6434,Smooth-hounds nei,"Sharks, rays, chimaeras",Mustelus spp,
6560,Surmullets(=Red mullets) nei,Miscellaneous coastal fishes,Mullus spp,
6623,"Clams, etc. nei","Clams, cockles, arkshells",Bivalvia,
6862,Crystal shrimp,"Shrimps, prawns",Penaeus brevirostris,
6979,Gastropods nei,"Abalones, winkles, conchs",Gastropoda,
7040,Dentex nei,Miscellaneous coastal fishes,Dentex spp,
7224,Marine molluscs nei,Miscellaneous marine molluscs,Mollusca,
7286,Marine worms,Miscellaneous aquatic invertebrates,Polychaeta,
7472,"Octopuses, etc. nei","Squids, cuttlefishes, octopuses",Octopodidae,
8091,Stromboid conchs nei,"Abalones, winkles, conchs",Strombus spp,
8146,Giant African threadfin,Miscellaneous coastal fishes,Polydactylus quadrifilis,
8209,"Threadfins, tasselfishes nei",Miscellaneous coastal fishes,Polynemidae,
8936,Sea cucumbers nei,Sea-urchins and other echinoderms,Holothuroidea,
9095,Cabinza grunt,Miscellaneous coastal fishes,Isacia conceptionis,
9158,Cholga mussel,Mussels,Aulacomya ater,
9284,Corvina drum,Miscellaneous coastal fishes,Cilus gilberti,
9347,Croakers nei,Miscellaneous coastal fishes,Micropogonias spp,
9410,Cusk-eels nei,Miscellaneous demersal fishes,Genypterus spp,
9473,Echinoderms,Sea-urchins and other echinoderms,Echinodermata,
9536,False abalone,"Abalones, winkles, conchs",Concholepas concholepas,
9662,"Hammerhead sharks, etc. nei","Sharks, rays, chimaeras",Sphyrnidae,
9788,Green spiny lobster,"Lobsters, spiny-rock lobsters",Panulirus gracilis,
9977,Jumbo flying squid,"Squids, cuttlefishes, octopuses",Dosidicus gigas,
10102,Macha clam,"Clams, cockles, arkshells",Mesodesma donacium,
10477,Pacific angelshark,"Sharks, rays, chimaeras",Squatina californica,
10540,Pacific guitarfish,"Sharks, rays, chimaeras",Rhinobatos planiceps,
10666,Patagonian squid,"Squids, cuttlefishes, octopuses",Loligo gahi,
10855,Peruvian banded croaker,Miscellaneous coastal fishes,Paralonchurus peruanus,
10918,Peruvian calico scallop,"Scallops, pectens",Argopecten purpuratus,
10981,Peruvian morwong,Miscellaneous demersal fishes,Cheilodactylus variegatus,
11044,Peruvian rock seabass,Miscellaneous coastal fishes,Paralabrax humeralis,
11107,Peruvian weakfish,Miscellaneous coastal fishes,Cynoscion analis,
11296,Lesser African threadfin,Miscellaneous coastal fishes,Galeoides decadactylus,
11422,Snappers nei,Miscellaneous coastal fishes,Lutjanus spp,
11539,Tilefishes nei,Miscellaneous demersal fishes,Branchiostegidae,
11596,Warehou nei,Miscellaneous demersal fishes,Seriolella spp,
11722,Anadara clams nei,"Clams, cockles, arkshells",Anadara spp,
11911,Batfishes,Miscellaneous coastal fishes,Platax spp,
12037,Chacunda gizzard shad,Shads,Anodontostoma chacunda,
12289,"Conger eels, etc. nei",Miscellaneous demersal fishes,Congridae,
12600,Fusiliers nei,Miscellaneous coastal fishes,Caesionidae,
12726,Glassfishes,Miscellaneous coastal fishes,Ambassidae,
12852,Gobies nei,Miscellaneous coastal fishes,Gobiidae,
12915,Green mussel,Mussels,Perna viridis,
12978,"Groupers, seabasses nei",Miscellaneous coastal fishes,Serranidae,
13104,Indian pellona,Shads,Pellona ditchela,
13230,Indo-Pacific tarpon,Miscellaneous coastal fishes,Megalops cyprinoides,
13293,Jellyfishes nei,Miscellaneous aquatic invertebrates,Rhopilema spp,
13356,Pandoras nei,Miscellaneous coastal fishes,Pagellus spp,
13655,Mojarras(=Silver-biddies) nei,Miscellaneous coastal fishes,Gerres spp,
13718,Moonfish,Miscellaneous coastal fishes,Mene maculata,
13970,Percoids nei,Miscellaneous coastal fishes,Percoidei,
14033,Ponyfishes(=Slipmouths) nei,Miscellaneous coastal fishes,Leiognathidae,
14411,Scats,Miscellaneous coastal fishes,Scatophagus spp,
14600,Sea urchins nei,Sea-urchins and other echinoderms,Strongylocentrotus spp,
14789,Short neck clams nei,"Clams, cockles, arkshells",Paphia spp,
14978,Slipper cupped oyster,Oysters,Crassostrea iredalei,
15041,Slipper lobsters nei,"Lobsters, spiny-rock lobsters",Scyllaridae,
15230,Spotted sicklefish,Miscellaneous coastal fishes,Drepane punctata,
15293,Squillids nei,Miscellaneous marine crustaceans,Squillidae,
15419,Royal threadfin,Miscellaneous coastal fishes,Pentanemus quinquarius,
15922,Alewife,Shads,Alosa pseudoharengus,
15962,"Antarctic rockcods, noties nei",Miscellaneous coastal fishes,Nototheniidae,
16075,Argentine shortfin squid,"Squids, cuttlefishes, octopuses",Illex argentinus,
16128,Atlantic halibut,"Flounders, halibuts, soles",Hippoglossus hippoglossus,
16284,Atlantic wolffish,Miscellaneous demersal fishes,Anarhichas lupus,
16347,Beaked redfish,Miscellaneous demersal fishes,Sebastes mentella,
16468,Blackfin icefish,Miscellaneous demersal fishes,Chaenocephalus aceratus,
16508,Norway lobster,"Lobsters, spiny-rock lobsters",Nephrops norvegicus,
16607,Spadefishes nei,Miscellaneous coastal fishes,Ephippidae,
16670,Crucian carp,"Carps, barbels and other cyprinids",Carassius carassius,
16874,European smelt,"Salmons, trouts, smelts",Osmerus eperlanus,
17078,Freshwater bream,"Carps, barbels and other cyprinids",Abramis brama,
17141,Humped rockcod,Miscellaneous coastal fishes,Notothenia gibberifrons,
17181,Kingklip,Miscellaneous demersal fishes,Genypterus capensis,
17219,Large-eye dentex,Miscellaneous coastal fishes,Dentex macrophthalmus,
17345,West African croakers nei,Miscellaneous coastal fishes,Pseudotolithus spp,
17408,Mackerel icefish,Miscellaneous demersal fishes,Champsocephalus gunnari,
17461,Marbled rockcod,Miscellaneous coastal fishes,Notothenia rossii,
17563,West African ilisha,Shads,Ilisha africana,
17626,Northern prawn,"Shrimps, prawns",Pandalus borealis,
17684,Northern shortfin squid,"Squids, cuttlefishes, octopuses",Illex illecebrosus,
17724,West African ladyfish,Miscellaneous coastal fishes,Elops lacerta,
17787,Pacific ocean perch,Miscellaneous demersal fishes,Sebastes alutus,
17888,Patagonian toothfish,Miscellaneous demersal fishes,Dissostichus eleginoides,
17927,Picked dogfish,"Sharks, rays, chimaeras",Squalus acanthias,
17967,[Haemulon spp],Miscellaneous coastal fishes,Haemulon spp,
18093,Rainbow trout,"Salmons, trouts, smelts",Oncorhynchus mykiss,
18156,Raja rays nei,"Sharks, rays, chimaeras",Raja spp,
18208,Roach,"Carps, barbels and other cyprinids",Rutilus rutilus,
18363,Scorpionfishes nei,Miscellaneous demersal fishes,Scorpaenidae,
18405,Scup,Miscellaneous coastal fishes,Stenotomus chrysops,
18507,South Georgia icefish,Miscellaneous demersal fishes,Pseudochaenichthys georgianus,
18622,Palinurid spiny lobsters nei,"Lobsters, spiny-rock lobsters",Palinurus spp,
18764,Alfonsino,Miscellaneous demersal fishes,Beryx decadactylus,
18827,Alfonsinos nei,Miscellaneous demersal fishes,Beryx spp,
19010,Allis shad,Shads,Alosa alosa,
19073,Amer. plaice(=Long rough dab),"Flounders, halibuts, soles",Hippoglossoides platessoides,
19136,American angler,Miscellaneous demersal fishes,Lophius americanus,
19199,Angler(=Monk),Miscellaneous demersal fishes,Lophius piscatorius,
19262,Angular roughshark,"Sharks, rays, chimaeras",Oxynotus centrina,
19325,Annular seabream,Miscellaneous coastal fishes,Diplodus annularis,
19570,Atlantic redfishes nei,Miscellaneous demersal fishes,Sebastes spp,
19633,Axillary seabream,Miscellaneous coastal fishes,Pagellus acarne,
19758,Caribbean spiny lobster,"Lobsters, spiny-rock lobsters",Panulirus argus,
19821,Ballan wrasse,Miscellaneous coastal fishes,Labrus bergylta,
19884,Basking shark,"Sharks, rays, chimaeras",Cetorhinus maximus,
20006,Bean solen,"Clams, cockles, arkshells",Pharus legumen,
20069,Common dentex,Miscellaneous coastal fishes,Dentex dentex,
20132,Pargo breams nei,Miscellaneous coastal fishes,Pagrus spp,
20195,Birdbeak dogfish,"Sharks, rays, chimaeras",Deania calcea,
20257,Black cardinal fish,Miscellaneous demersal fishes,Epigonus telescopus,
20320,Black scabbardfish,Miscellaneous demersal fishes,Aphanopus carbo,
20570,Blackbellied angler,Miscellaneous demersal fishes,Lophius budegassa,
20633,Blackbelly rosefish,Miscellaneous demersal fishes,Helicolenus dactylopterus,
20759,Blackmouth catshark,"Sharks, rays, chimaeras",Galeus melastomus,
20821,Blackspot(=red) seabream,Miscellaneous coastal fishes,Pagellus bogaraveo,
21135,Blue mussel,Mussels,Mytilus edulis,
21576,Boe drum,Miscellaneous coastal fishes,Pteroscion peli,
21760,Brill,"Flounders, halibuts, soles",Scophthalmus rhombus,
22191,Common eagle ray,"Sharks, rays, chimaeras",Myliobatis aquila,
22254,Common edible cockle,"Clams, cockles, arkshells",Cerastoderma edule,
22317,Common octopus,"Squids, cuttlefishes, octopuses",Octopus vulgaris,
22380,Common pandora,Miscellaneous coastal fishes,Pagellus erythrinus,
22493,Common shrimp,"Shrimps, prawns",Crangon crangon,
22556,Common sole,"Flounders, halibuts, soles",Solea solea,
22680,Common two-banded seabream,Miscellaneous coastal fishes,Diplodus vulgaris,
23244,Devil anglerfish,Miscellaneous demersal fishes,Lophius vomerinus,
23284,Dogfish sharks nei,"Sharks, rays, chimaeras",Squalidae,
23369,Dogfishes and hounds nei,"Sharks, rays, chimaeras","Squalidae, Scyliorhinidae",
23432,Donax clams,"Clams, cockles, arkshells",Donax spp,
23495,Dusky grouper,Miscellaneous coastal fishes,Epinephelus marginatus,
23616,Edible crab,"Crabs, sea-spiders",Cancer pagurus,
23716,European conger,Miscellaneous demersal fishes,Conger conger,
23842,European flounder,"Flounders, halibuts, soles",Platichthys flesus,
23905,European lobster,"Lobsters, spiny-rock lobsters",Homarus gammarus,
24059,European seabass,Miscellaneous coastal fishes,Dicentrarchus labrax,
24360,Gilthead seabream,Miscellaneous coastal fishes,Sparus aurata,
24484,"Triggerfishes, durgons nei",Miscellaneous coastal fishes,Balistidae,
24547,Greater weever,Miscellaneous coastal fishes,Trachinus draco,
24610,Green crab,"Crabs, sea-spiders",Carcinus maenas,
24736,Grey triggerfish,Miscellaneous coastal fishes,Balistes carolinensis,
24799,Grooved carpet shell,"Clams, cockles, arkshells",Ruditapes decussatus,
25238,Gulper shark,"Sharks, rays, chimaeras",Centrophorus granulosus,
25300,"Gurnards, searobins nei",Miscellaneous demersal fishes,Triglidae,
25483,Horned octopus,"Squids, cuttlefishes, octopuses",Eledone cirrhosa,
25546,Imperial blackfish,Miscellaneous demersal fishes,Schedophilus ovalis,
25609,John dory,Miscellaneous demersal fishes,Zeus faber,
25833,Kitefin shark,"Sharks, rays, chimaeras",Dalatias licha,
26079,Leafscale gulper shark,"Sharks, rays, chimaeras",Centrophorus squamosus,
26203,Lefteye flounders nei,"Flounders, halibuts, soles",Bothidae,
26327,Lobsters nei,"Lobsters, spiny-rock lobsters",Reptantia,
26385,Longnose velvet dogfish,"Sharks, rays, chimaeras",Centroscymnus crepidater,
26446,Longspine snipefish,Miscellaneous demersal fishes,Macroramphosus scolopax,
26938,Acoupa weakfish,Miscellaneous coastal fishes,Cynoscion acoupa,
27116,Mediterranean slipper lobster,"Lobsters, spiny-rock lobsters",Scyllarides latus,
27179,Monkfishes nei,Miscellaneous demersal fishes,Lophius spp,
27301,Morays nei,Miscellaneous coastal fishes,Muraenidae,
27534,Murex,"Abalones, winkles, conchs",Murex spp,
28095,Nursehound,"Sharks, rays, chimaeras",Scyliorhinus stellaris,
28405,Offshore rockfish,Miscellaneous demersal fishes,Pontinus kuhlii,
28468,Oilfish,Miscellaneous demersal fishes,Ruvettus pretiosus,
28594,Argentine conger,Miscellaneous demersal fishes,Conger orbignyanus,
28657,Pacific cupped oyster,Oysters,Crassostrea gigas,
29069,Argentine croaker,Miscellaneous coastal fishes,Umbrina canosai,
29132,Parrotfish,Miscellaneous coastal fishes,Sparisoma cretense,
29299,Picarels nei,Miscellaneous coastal fishes,Spicara spp,
29425,Pink cusk-eel,Miscellaneous demersal fishes,Genypterus blacodes,
29478,Porbeagle,"Sharks, rays, chimaeras",Lamna nasus,
29664,Portuguese dogfish,"Sharks, rays, chimaeras",Centroscymnus coelolepis,
29788,Pullet carpet shell,"Clams, cockles, arkshells",Venerupis pullastra,
29914,Argentinian sandperch,Miscellaneous coastal fishes,Pseudopercis semifasciata,
30222,Red gurnard,Miscellaneous demersal fishes,Aspitrigla cuculus,
30285,Red pandora,Miscellaneous coastal fishes,Pagellus bellottii,
30471,Red scorpionfish,Miscellaneous demersal fishes,Scorpaena scrofa,
30534,Roudi escolar,Miscellaneous demersal fishes,Promethichthys prometheus,
30596,Rubberlip grunt,Miscellaneous coastal fishes,Plectorhinchus mediterraneus,
30714,Salema,Miscellaneous coastal fishes,Sarpa salpa,
30777,Sand sole,"Flounders, halibuts, soles",Solea lascaris,
30840,Sand steenbras,Miscellaneous coastal fishes,Lithognathus mormyrus,
30903,Sandy ray,"Sharks, rays, chimaeras",Raja circularis,
31090,Scarlet shrimp,"Shrimps, prawns",Plesiopenaeus edwardsianus,
31339,Sea lamprey,Miscellaneous diadromous fishes,Petromyzon marinus,
31463,Seabasses nei,Miscellaneous coastal fishes,Dicentrarchus spp,
31526,Shads nei,Shads,Alosa spp,
31966,Shortfin mako,"Sharks, rays, chimaeras",Isurus oxyrinchus,
32218,Atlantic searobins,Miscellaneous demersal fishes,Prionotus spp,
32407,Silver scabbardfish,Miscellaneous demersal fishes,Lepidopus caudatus,
32573,Silvery John dory,Miscellaneous demersal fishes,Zenopsis conchifer,
32636,Smooth callista,"Clams, cockles, arkshells",Callista chione,
32699,Smooth hammerhead,"Sharks, rays, chimaeras",Sphyrna zygaena,
33004,Snoek,Miscellaneous demersal fishes,Thyrsites atun,
33044,Solen razor clams nei,"Clams, cockles, arkshells",Solen spp,
33107,Soles nei,"Flounders, halibuts, soles",Soleidae,
33232,Solid surf clam,"Clams, cockles, arkshells",Spisula solida,
33295,Barred grunt,Miscellaneous coastal fishes,Conodon nobilis,
33358,Spinous spider crab,"Crabs, sea-spiders",Maja squinado,
33421,Spiny butterfly ray,"Sharks, rays, chimaeras",Gymnura altavela,
33484,Splendid alfonsino,Miscellaneous demersal fishes,Beryx splendens,
33547,Bastard halibuts nei,"Flounders, halibuts, soles",Paralichthys spp,
33610,Stargazer,Miscellaneous demersal fishes,Uranoscopus scaber,
33672,Starry smooth-hound,"Sharks, rays, chimaeras",Mustelus asterias,
33735,"Stingrays, butterfly rays nei","Sharks, rays, chimaeras",Dasyatidae,
33794,Striped venus,"Clams, cockles, arkshells",Chamelea gallina,
33857,Surmullet,Miscellaneous coastal fishes,Mullus surmuletus,
34046,Bigeye thresher,"Sharks, rays, chimaeras",Alopias superciliosus,
34109,Thickback soles nei,"Flounders, halibuts, soles",Microchirus spp,
34172,Thornback ray,"Sharks, rays, chimaeras",Raja clavata,
34235,Thresher,"Sharks, rays, chimaeras",Alopias vulpinus,
34298,"Toadfishes, etc. nei",Miscellaneous coastal fishes,Batrachoididae,
34424,Tope shark,"Sharks, rays, chimaeras",Galeorhinus galeus,
34550,Torpedo rays,"Sharks, rays, chimaeras",Torpedo spp,
34676,Bigeyes nei,Miscellaneous coastal fishes,Priacanthus spp,
34739,Tub gurnard,Miscellaneous demersal fishes,Chelidonichthys lucerna,
34802,Bigtooth corvina,Miscellaneous coastal fishes,Isopisthus parvipinnis,
34928,Twaite shad,Shads,Alosa fallax,
35156,Veined squid,"Squids, cuttlefishes, octopuses",Loligo forbesi,
35282,Black drum,Miscellaneous coastal fishes,Pogonias cromis,
35329,Wedge sole,"Flounders, halibuts, soles",Dicologlossa cuneata,
35510,Blackfin goosefish,Miscellaneous demersal fishes,Lophius gastrophysus,
35573,West African goatfish,Miscellaneous coastal fishes,Pseudupeneus prayensis,
35635,White grouper,Miscellaneous coastal fishes,Epinephelus aeneus,
35698,White seabream,Miscellaneous coastal fishes,Diplodus sargus,
36076,Wreckfish,Miscellaneous demersal fishes,Polyprion americanus,
36260,Boxfishes nei,Miscellaneous coastal fishes,Ostraciidae,
36749,Lane snapper,Miscellaneous coastal fishes,Lutjanus synagris,
36987,Misty grouper,Miscellaneous coastal fishes,Epinephelus mystacinus,
37050,"Mojarras, etc. nei",Miscellaneous coastal fishes,Gerreidae,
37176,Mutton snapper,Miscellaneous coastal fishes,Lutjanus analis,
37239,Bocon toadfish,Miscellaneous coastal fishes,Amphichthys cryptocentrus,
37491,Queen snapper,Miscellaneous coastal fishes,Etelis oculatus,
37553,Red hind,Miscellaneous coastal fishes,Epinephelus guttatus,
37679,Silk snapper,Miscellaneous coastal fishes,Lutjanus vivanus,
37805,Snooks(=Robalos) nei,Miscellaneous coastal fishes,Centropomus spp,
37868,Squirrelfishes nei,Miscellaneous coastal fishes,Holocentridae,
38057,Vermilion snapper,Miscellaneous coastal fishes,Rhomboplites aurorubens,
38182,Brazilian flathead,Miscellaneous coastal fishes,Percophis brasiliensis,
38245,Yellowtail snapper,Miscellaneous coastal fishes,Ocyurus chrysurus,
38434,Brazilian groupers nei,Miscellaneous coastal fishes,Mycteroperca spp,
38497,Flathead lobster,"Lobsters, spiny-rock lobsters",Thenus orientalis,
38841,King soldier bream,Miscellaneous coastal fishes,Argyrops spinifer,
38904,Malabar blood snapper,Miscellaneous coastal fishes,Lutjanus malabaricus,
39689,Chola guitarfish,"Sharks, rays, chimaeras",Rhinobatos percellens,
39736,Bastard grunt,Miscellaneous coastal fishes,Pomadasys incisus,
39779,Bigeye grunt,Miscellaneous coastal fishes,Brachydeuterus auritus,
39822,Black and Caspian Sea sprat,Shads,Clupeonella cultriventris,
40471,Cupped oysters nei,Oysters,Crassostrea spp,
40662,"Cusk-eels, brotulas nei",Miscellaneous demersal fishes,Ophidiidae,
41054,Pontic shad,Shads,Alosa pontica,
41427,Green weakfish,Miscellaneous coastal fishes,Cynoscion virescens,
41553,Sturgeons nei,"Sturgeons, paddlefishes",Acipenseridae,
41760,Irish mojarra,Miscellaneous coastal fishes,Diapterus auratus,
42131,Jamaica weakfish,Miscellaneous coastal fishes,Cynoscion jamaicensis,
42249,Argentines,Miscellaneous demersal fishes,Argentina spp,
42312,King weakfish,Miscellaneous coastal fishes,Macrodon ancylodon,
42556,Kingcroakers nei,Miscellaneous coastal fishes,Menticirrhus spp,
42745,Ladyfish,Miscellaneous coastal fishes,Elops saurus,
42980,Blood cockle,"Clams, cockles, arkshells",Anadara granosa,
43043,Blotched picarel,Miscellaneous coastal fishes,Spicara maena,
43169,Blue king crab,"King crabs, squat-lobsters",Paralithodes platypus,
43232,Brown king crab,"King crabs, squat-lobsters",Paralithodes brevipes,
43673,Common carp,"Carps, barbels and other cyprinids",Cyprinus carpio,
43736,Coonstripe shrimp,"Shrimps, prawns",Pandalus hypsinotus,
43861,Cyprinids nei,"Carps, barbels and other cyprinids",Cyprinidae,
44237,Eelpouts,Miscellaneous demersal fishes,Lycodes spp,
44678,Freshwater breams nei,"Carps, barbels and other cyprinids",Abramis spp,
44867,Golden king crab,"King crabs, squat-lobsters",Lithodes aequispina,
45119,Hair crab,"Crabs, sea-spiders",Erimacrus isenbeckii,
45182,Hokkai shrimp,"Shrimps, prawns",Pandalus kessleri,
45245,Humpy shrimp,"Shrimps, prawns",Pandalus goniurus,
45371,Kamchatka flounder,"Flounders, halibuts, soles",Atheresthes evermanni,
45434,Lampreys nei,Miscellaneous diadromous fishes,Petromyzontidae,
45912,Lumpfish(=Lumpsucker),Miscellaneous demersal fishes,Cyclopterus lumpus,
45975,Puffers nei,Miscellaneous coastal fishes,Tetraodontidae,
46227,Morotoge shrimp,"Shrimps, prawns",Pandalopsis japonica,
46479,Red grouper,Miscellaneous coastal fishes,Epinephelus morio,
46980,Okhotsk atka mackerel,Miscellaneous coastal fishes,Pleurogrammus azonus,
47232,Pacific sandlance,Miscellaneous coastal fishes,Ammodytes personatus,
47608,Sawfishes,"Sharks, rays, chimaeras",Pristidae,
47770,Rainbow smelt,"Salmons, trouts, smelts",Osmerus mordax,
48148,Scalloped hammerhead,"Sharks, rays, chimaeras",Sphyrna lewini,
48400,Roaches nei,"Carps, barbels and other cyprinids",Rutilus spp,
48526,Sablefish,Miscellaneous demersal fishes,Anoplopoma fimbria,
48778,Sea mussels nei,Mussels,Mytilidae,
48963,Sculptured shrimps nei,"Shrimps, prawns",Sclerocrangon spp,
49150,Sea snails,"Abalones, winkles, conchs",Rapana spp,
49338,Sichel,"Carps, barbels and other cyprinids",Pelecus cultratus,
49524,Smelts nei,"Salmons, trouts, smelts","Osmerus spp, Hypomesus spp",
49650,Shorthead drum,Miscellaneous coastal fishes,Larimus breviceps,
49835,Surf clams nei,"Clams, cockles, arkshells",Spisula spp,
49961,Tanner crabs nei,"Crabs, sea-spiders",Chionoecetes spp,
50024,Three-spined stickleback,Miscellaneous diadromous fishes,Gasterosteus aculeatus,
50213,Smooth weakfish,Miscellaneous coastal fishes,Cynoscion leiarchus,
50501,Whitefishes nei,"Salmons, trouts, smelts",Coregonus spp,
50812,Yesso scallop,"Scallops, pectens",Patinopecten yessoensis,
50937,Blacktip grouper,Miscellaneous coastal fishes,Epinephelus fasciatus,
51063,Southern red snapper,Miscellaneous coastal fishes,Lutjanus purpureus,
51813,Tristan da Cunha rock lobster,"Lobsters, spiny-rock lobsters",Jasus tristani,
51876,Stripped weakfish,Miscellaneous coastal fishes,Cynoscion guatucupa,
52298,Tarpon,Miscellaneous coastal fishes,Megalops atlanticus,
52991,Triangular tivela,"Clams, cockles, arkshells",Tivela mactroides,
53117,Tripletail,Miscellaneous demersal fishes,Lobotes surinamensis,
53467,Weakfishes nei,Miscellaneous coastal fishes,Cynoscion spp,
53593,Whitemouth croaker,Miscellaneous coastal fishes,Micropogonias furnieri,
54790,Areolate grouper,Miscellaneous coastal fishes,Epinephelus areolatus,
54853,Black-streaked monocle bream,Miscellaneous coastal fishes,Scolopsis taeniata,
54916,Blackspotted rubberlip,Miscellaneous coastal fishes,Plectorhinchus gaterinus,
55042,Blue-barred parrotfish,Miscellaneous coastal fishes,Scarus ghobban,
55105,Bluespine unicornfish,Miscellaneous coastal fishes,Naso unicornis,
55168,Bluespot mullet,Miscellaneous coastal fishes,Valamugil seheli,
55231,Brown-marbled grouper,Miscellaneous coastal fishes,Epinephelus fuscoguttatus,
55294,Brownspotted grouper,Miscellaneous coastal fishes,Epinephelus chlorostigma,
55420,Comet grouper,Miscellaneous coastal fishes,Epinephelus morrhua,
55483,Common bluestripe snapper,Miscellaneous coastal fishes,Lutjanus kasmira,
55546,Common silver-biddy,Miscellaneous coastal fishes,Gerres oyena,
55609,Coral hind,Miscellaneous coastal fishes,Cephalopholis miniata,
55735,Five-lined snapper,Miscellaneous coastal fishes,Lutjanus quinquelineatus,
55924,Giant catfish,Miscellaneous coastal fishes,Arius thalassinus,
55987,Goldsilk seabream,Miscellaneous coastal fishes,Acanthopagrus berda,
56050,Greasy grouper,Miscellaneous coastal fishes,Epinephelus tauvina,
56113,Green humphead parrotfish,Miscellaneous coastal fishes,Bolbometopon muricatum,
56365,Haffara seabream,Miscellaneous coastal fishes,Rhabdosargus haffara,
56428,Humpback red snapper,Miscellaneous coastal fishes,Lutjanus gibbus,
56491,Humpnose big-eye bream,Miscellaneous coastal fishes,Monotaxis grandoculis,
56617,Leopard flounder,"Flounders, halibuts, soles",Bothus pantherinus,
56806,Minstrel sweetlips,Miscellaneous coastal fishes,Plectorhinchus schotaf,
56995,Orange-spotted grouper,Miscellaneous coastal fishes,Epinephelus coioides,
57056,Orange-striped emperor,Miscellaneous coastal fishes,Lethrinus obsoletus,
57119,Painted sweetlips,Miscellaneous coastal fishes,Diagramma pictum,
57245,Peacock hind,Miscellaneous coastal fishes,Cephalopholis argus,
57497,Pink ear emperor,Miscellaneous coastal fishes,Lethrinus lentjan,
57623,Redmouth grouper,Miscellaneous coastal fishes,Aethaloperca rogaa,
